Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	corresponding complex PDBID
chestnut bellied scaled quail ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=5.9e11 M??	enzyme activity assay	
turkey ovomucoid third domain (glycosylated)	bovine ¦Á-chymotrypsin	Bos taurus	Ka=3.5e11 M??	enzyme activity assay	
turkey ovomucoid third domain (glycosylated)	elastase I			Ka=4.4e10 M??	enzyme activity assay	
turkey ovomucoid third domain (glycosylated)	subtilisin Carlsberg			Ka=2.7e10 M??	enzyme activity assay	
silver pheasant ovomucoid third domain (glycosylated)	bovine ¦Á-chymotrypsin	Bos taurus	Ka=1.7e11 M??	enzyme activity assay	
silver pheasant ovomucoid third domain (glycosylated)	elastase I			Ka=1.6e11 M??	enzyme activity assay	
silver pheasant ovomucoid third domain (glycosylated)	subtilisin Carlsberg			Ka=4.3e10 M??	enzyme activity assay	
Reeve's pheasant ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=3.4e11 M??	enzyme activity assay	
Reeve's pheasant ovomucoid third domain	elastase I			Ka=1.1e10 M??	enzyme activity assay	
Reeve's pheasant ovomucoid third domain	subtilisin Carlsberg			Ka=2.2e10 M??	enzyme activity assay	
ring-necked pheasant ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=7.3e10 M??	enzyme activity assay	
ring-necked pheasant ovomucoid third domain	elastase I			Ka=1.2e10 M??	enzyme activity assay	
ring-necked pheasant ovomucoid third domain	subtilisin Carlsberg			Ka=7.4e9 M??	enzyme activity assay	
duck ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=1.5e11 M??	enzyme activity assay	
duck ovomucoid third domain	elastase I			Ka=1.8e10 M??	enzyme activity assay	
duck ovomucoid third domain	subtilisin Carlsberg			Ka=2.5e10 M??	enzyme activity assay	
goose ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=1.8e4 M??	enzyme activity assay	
goose ovomucoid third domain	elastase I			Ka=2.0e9 M??	enzyme activity assay	
goose ovomucoid third domain	subtilisin Carlsberg			Ka=1.0e7 M??	enzyme activity assay	
rhea ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=8.9e7 M??	enzyme activity assay	
rhea ovomucoid third domain	elastase I			Ka=1.8e8 M??	enzyme activity assay	
rhea ovomucoid third domain	subtilisin Carlsberg			Ka=7.6e9 M??	enzyme activity assay
